59.16.SG,GLOBAL INSURANCE CORPORATION,GIC,2016-05-27 00:00:00.000,59.16.SG.TS1,2016-12-13 00:00:00.000,2016-12-13
39.16.HN,BIDV INSURANCE CORPORATION,BIC,2016-05-27 00:00:00.000,39.16.HN.TS1,2016-06-25 00:00:00.000,2016-07-26
60.16.SG,PVI INSURANCE CORPORATION - GIA DINH BRANCH,PVIGD,2016-05-28 00:00:00.000,60.16.SG.TS1,2017-04-13 00:00:00.000,2017-04-28
40.16.HN,GLOBAL INSURANCE CORPORATION,GIC,2016-06-02 00:00:00.000,40.16.HN.TS1,2016-12-31 00:00:00.000,2017-03-03
41.16.HN,BAO MINH INSURANCE CORP.,BAOMINH,2016-06-03 00:00:00.000,41.16.HN.TS1,2017-07-04 00:00:00.000,2017-08-04
62.16.SG,PVI INSURANCE CORPORATION - SAI GON BRANCH,PVI SG,2016-06-06 00:00:00.000,62.16.SG.TS1,NULL,NULL
63.16.SG,PVI INSURANCE CORPORATION - GIA DINH BRANCH,PVIGD,2016-06-06 00:00:00.000,63.16.SG.TS1,2017-08-28 00:00:00.000,2017-10-25
42.16.HN,PETROLIMEX INSURANCE CORPORATION,PJICO,2016-06-07 00:00:00.000,42.16.HN.TS1,NULL,NULL
43.16.HN,PETROLIMEX J.S INSURANCE COMPANY - SAI GON BRANCH,PJICO SG,2016-06-07 00:00:00.000,43.16.HN.TS1,2018-12-26 00:00:00.000,2019-03-22
66.16.SG,BIDV INSURANCE CORP. - HO CHI MINH BRANCH,BIC HCM,2016-06-08 00:00:00.000,66.16.SG.TS1,2016-08-23 00:00:00.000,2016-08-23
67.16.SG,GLOBAL INSURANCE CORPORATION,GIC,2016-06-08 00:00:00.000,67.16.SG.TS1,2017-06-23 00:00:00.000,2017-08-08
68.16.SG,BAO MINH SAI GON,BMSG,2016-06-14 00:00:00.000,68.16.SG.TS1,NULL,NULL
44.16.HN,PETROLIMEX INSURANCE CORPORATION,PJICO,2016-06-14 00:00:00.000,44.16.HN.TS1,2017-08-09 00:00:00.000,2017-08-22
69.16.SG,PVI INSURANCE CORPORATION - GIA DINH BRANCH,PVIGD,2016-06-14 00:00:00.000,69.16.SG.TS1,2017-05-30 00:00:00.000,2017-08-08
70.16.SG,BAO MINH BEN THANH,BMBT,2016-06-18 00:00:00.000,70.16.SG.TS1,2017-02-21 00:00:00.000,2017-06-23
45.16.HN,PVI INSURANCE CORPORATION - DONG DO BRANCH,PVI DD,2016-06-19 00:00:00.000,45.16.HN.TS2,NULL,NULL
46.16.HN,BIDV INSURANCE CORPORATION,BIC,2016-06-20 00:00:00.000,46.16.HN.TS1,NULL,NULL
71.16.SG,BAO MINH INSURANCE CORP.,BAOMINH,2016-06-20 00:00:00.000,71.16.SG.TS1,2017-02-15 00:00:00.000,2017-03-03
47.16.HN,PVI THANG LONG,PVI TL,2016-06-22 00:00:00.000,47.16.HN.TS1,2017-01-25 00:00:00.000,2017-02-23
72.16.SG,PVI INSURANCE SOUTH COMPANY,PVIS,2016-06-23 00:00:00.000,72.16.SG.TS1,2018-03-16 00:00:00.000,2018-03-19
73.16.SG,UNITED INSURANCE COMPANY OF VIETNAM - HCM BRANCH,UICHCM,2016-06-24 00:00:00.000,73.16.SG.TS1,2016-09-05 00:00:00.000,2017-04-05
74.16.SG,BAO LONG INSURANCE CORPORATION,BAOLONG,2016-06-30 00:00:00.000,74.16.SG.TS1,2017-02-18 00:00:00.000,2017-02-28
48.16.HN,PETROLIMEX INSURANCE CORPORATION,PJICO,2016-07-04 00:00:00.000,48.16.HN.TS1,2017-06-19 00:00:00.000,2017-12-19
75.16.SG,MILITARY INSURANCE CORPORATION,MIC,2016-07-06 00:00:00.000,75.16.SG.TS1,2016-10-07 00:00:00.000,2017-12-13
76.16.SG,BAO LONG INSURANCE CORPORATION,BAOLONG,2016-07-08 00:00:00.000,76.16.SG.TS1,2016-07-13 00:00:00.000,NULL
77.16.SG,QBE INSURANCE (VIETNAM) CO., LTD,QBE,2016-07-10 00:00:00.000,77.16.SG.TS1,2016-09-22 00:00:00.000,2016-09-22
78.16.SG,BAO MINH INSURANCE CORP.,BAOMINH,2016-07-13 00:00:00.000,78.16.SG.TS1,2016-12-31 00:00:00.000,2017-02-22
79.16.SG,PVI THANG LONG,PVI TL,2016-07-15 00:00:00.000,79.16.SG.TS1,2017-07-01 00:00:00.000,2018-01-24
80.16.SG,CATHAY INSURANCE (VIETNAM) CO., LTD,CATHAY,2016-07-15 00:00:00.000,80.16.SG.TS1,2017-05-15 00:00:00.000,2017-05-15
81.16.SG,PVI INSURANCE CORPORATION - PVI HCM,PVI HCM,2016-07-15 00:00:00.000,81.16.SG.TS1,2016-11-25 00:00:00.000,2016-12-06
82.16.SG,BAO MINH SAI GON,BMSG,2016-07-20 00:00:00.000,82.16.SG.TS1,2016-11-21 00:00:00.000,2016-11-21
83.16.SG,BAO LONG INSURANCE CORPORATION,BAOLONG,2016-07-21 00:00:00.000,83.16.SG.TS1,NULL,NULL
84.16.SG,GLOBAL INSURANCE CORPORATION,GIC,2016-07-21 00:00:00.000,84.16.SG.TS1,2016-11-11 00:00:00.000,2016-11-11
85.16.SG,PVI INSURANCE SOUTH COMPANY,PVIS,2016-07-21 00:00:00.000,85.16.SG.TS1,2016-12-06 00:00:00.000,2016-12-07
86.16.SG,UNITED INSURANCE COMPANY OF VIETNAM,UIC,2016-07-22 00:00:00.000,86.16.SG.TS1,2016-07-27 00:00:00.000,2016-07-27
87.16.SG,BAO MINH SAI GON,BMSG,2016-07-23 00:00:00.000,87.16.SG.TS1,2017-11-27 00:00:00.000,2018-06-14
89.16.SG,AGRICULTURE BANK INSURANCE JOINT – STOCK CORPORATION,ABIC,2016-07-26 00:00:00.000,89.16.SG.TS1,2017-03-26 00:00:00.000,2018-09-13
90.16.SG,PVI THANG LONG,PVI TL,2016-07-27 00:00:00.000,90.16.SG.TS1,2017-04-12 00:00:00.000,2017-04-22
51.16.HN,PVI INSURANCE CORPORATION,PVI,2016-07-28 00:00:00.000,51.16.HN.TS1,2017-09-19 00:00:00.000,2018-01-03
52.16.HN,PVI THANG LONG,PVI TL,2016-07-28 00:00:00.000,52.16.HN.TS1,2016-12-31 00:00:00.000,2017-03-03
53.16.HN,PETROLIMEX INSURANCE CORPORATION,PJICO,2016-07-28 00:00:00.000,53.16.HN.TS1,2017-07-28 00:00:00.000,2017-08-25
54.16.HN,PETROLIMEX INSURANCE CORPORATION,PJICO,2016-07-28 00:00:00.000,54.16.HN.TS1,2017-05-26 00:00:00.000,2017-12-19
55.16.HN,FUBON INSURANCE VIETNAM COMPANY LIMITED,FUBON,2016-07-28 00:00:00.000,55.16.HN.TS1,2016-11-14 00:00:00.000,2016-11-14
56.16.HN,FUBON INSURANCE VIETNAM COMPANY LIMITED,FUBON,2016-07-28 00:00:00.000,56.16.HN.TS1,2016-11-28 00:00:00.000,2016-11-28
